"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
6.018076580E-1	9.899999946E-3	-2.062499989E-3	-2.749999985E-4	1.011630022E-2
6.039531600E-1	8.799999952E-3	-3.299999982E-3	9.624999948E-4	9.447560811E-3
6.061006200E-1	9.899999946E-3	-8.249999955E-4	9.624999948E-4	9.980833140E-3
6.082461600E-1	1.113750041E-2	-2.062499989E-3	-2.749999985E-4	1.133020064E-2
6.103937740E-1	1.237499993E-2	-2.062499989E-3	-2.749999985E-4	1.254871127E-2
6.125390830E-1	1.237499993E-2	-2.062499989E-3	-2.749999985E-4	1.254871127E-2
6.146866440E-1	1.113750041E-2	-2.062499989E-3	-2.749999985E-4	1.133020064E-2
6.168321840E-1	1.237499993E-2	-2.062499989E-3	-2.749999985E-4	1.254871127E-2
6.189796440E-1	1.237499993E-2	4.124999978E-4	9.624999948E-4	1.241922646E-2
6.211251840E-1	1.237499993E-2	4.124999978E-4	9.624999948E-4	1.241922646E-2
6.232727970E-1	1.113750041E-2	-8.249999955E-4	-2.749999985E-4	1.117139943E-2
6.254180920E-1	1.361249946E-2	1.512499992E-3	9.624999948E-4	1.373004749E-2
6.275657060E-1	9.899999946E-3	-8.249999955E-4	9.624999948E-4	9.980833140E-3
